Tue Sep 08 21:00:09 MSK 2015	Teacher Network	Educating Cardiff episode 3 brings bad girls and behaviour problems	[Teacher Network, Education, Schools, Secondary schools, Primary schools, Behaviour management]
Tue Sep 08 13:12:57 MSK 2015	World news	Concern over burgeoning trade in fake and stolen Syrian passports	[Migration, Greece, Syria, Middle East and North Africa, Europe, World news, Refugees]
Tue Sep 08 13:06:26 MSK 2015	World news	Kurdish civilians hit by snipers as Turkey cracks down on militants	[Turkey, Kurds, Middle East and North Africa, World news]
Tue Sep 08 13:05:12 MSK 2015	Sustainable Business - Grundfos partner zone	Keeping Disney dry: protecting Shanghai's new theme park from flooding  - infograph	[Sustainable Business - Grundfos partner zone]
Tue Sep 08 13:00:04 MSK 2015	Society	How design can make healthcare better | Ara Darzi	[Society, Health, NHS, Design, Art and design]
Tue Sep 08 00:56:17 MSK 2015	Technology	iPhone 6s or iPad Pro? What is Apple launching? Tell us your thoughts	[Apple, Computing, US news, iPhone 6, iPhone, Mobile phones, Technology, World news]
Tue Sep 08 00:55:43 MSK 2015	Public Leaders Network	BBC plans to help local journalism will not be local enough	[Public Leaders Network, Community engagement, Local government, Newspapers, Newspaper closures, Media, Newspapers & magazines, Transparency, BBC, Society]
Tue Sep 08 00:55:08 MSK 2015	Global Development Professionals Network	Confessions of a humanitarian: I've never met a meeting I couldn't sleep through	[Global development professionals network, Work & careers, Sleep, people in development - global development professionals network, humanitarians]
Tue Sep 08 00:49:29 MSK 2015	UK news	Remains confirmed as IRA 'disappeared' Séamus Wright and Kevin McKee	[Northern Ireland, UK news, IRA, Sinn Féin, Gerry Adams, Ireland, Politics, Europe]
Tue Sep 08 00:46:35 MSK 2015	UK news	Shoreham air crash: two PCs accused of sending 'offensive' Snapchat video	[Shoreham airshow crash, Police, UK news]
Tue Sep 08 00:46:15 MSK 2015	Books	The Waterworks by EL Doctorow - a macabre masterpiece	[Books, Fiction, EL Doctorow, Wilkie Collins]
Tue Sep 08 00:40:21 MSK 2015	Society	Teach handwashing in school to fight drug-resistant bugs, urge experts	[Drug resistance, Antibiotics, Society, Health, Education, UK news]
Tue Sep 08 00:32:55 MSK 2015	Music	St Petersburg Phil/Temirkanov review – Rachmaninov just doesn’t get any better than this	[BBC Proms 2015, Classical music, Music, Culture, Proms, Festivals]
Tue Sep 08 00:32:54 MSK 2015	Sport	Rugby World Cup preview No4: Wales | Paul Rees	[Rugby World Cup 2015, Wales rugby union team, Warren Gatland, Rugby World Cup 2015 previews, Rugby World Cup, Sport, Rugby union]
Tue Sep 08 00:30:07 MSK 2015	Comment is free	George Carey has got the refugee crisis completely wrong | Andrew Brown	[Refugees, World news, Syria, Middle East and North Africa, Migration, Christianity]
Tue Sep 08 00:27:25 MSK 2015	Fashion	Mark Zuckerberg takes a tip from the Steve Jobs school of getting dressed – stylewatch	[Fashion, Life and style, Mark Zuckerberg, Technology]
Tue Sep 08 00:16:05 MSK 2015	Film	Hollywood needs to change its game in the age of Rotten Tomatoes	[Film industry, Film, Culture, Jurassic World, Fantastic Four, The Man from UNCLE, Mission: Impossible - Rogue Nation, Straight Outta Compton, Trainwreck]
Tue Sep 08 00:12:21 MSK 2015	Media	Serena Williams steps back in time for Gatorade advert	[Media, Advertising]
Tue Sep 08 00:06:18 MSK 2015	Global	Guardian Weekly Letters, 11 September 2015	[]
Tue Sep 08 00:01:15 MSK 2015	Television & radio	Ballers: can The Rock convince the UK to watch his NFL Entourage?	[HBO, Dwayne Johnson (The Rock), Comedy, Television, Mark Wahlberg]
Tue Sep 08 00:00:03 MSK 2015	Society	Finland is pioneering joined up services, and reaping the rewards	[Social care, Child protection, Children, Health, Older people, Young people, Mental health, Society, Public sector cuts, Public services policy, Public finance]
Tue Sep 08 11:59:55 MSK 2015	Comment is free	‘What’s a uterus?’ Health illiteracy could be the death of us	[Health, Cancer, Cancer, Women, Society, Medical research, Science, Health & wellbeing, Life and style, Doctors, Genetics, Education, UK news]
Tue Sep 08 11:55:21 MSK 2015	Stage	When We Were Women review – meandering drama with a core of truth	[Theatre, Stage, Culture]
Tue Sep 08 11:52:21 MSK 2015	World news	Targeting British jihadis in Syria does not amount to long-term strategy	[Syria, Islamic State, David Cameron, Foreign policy, UK news, Middle East and North Africa, Politics, World news]
Tue Sep 08 11:50:20 MSK 2015	Sport	Plans for rebel league on the shelf after ICC and Essel talks	[International Cricket Council, ECB, Cricket, Sport]
Tue Sep 08 11:48:55 MSK 2015	Comment is free	Periods cost £18,000? Here are five things I’d rather spend the money on | Daisy Buchanan	[Women, Life and style, UK news, Health, Society, Hygiene, Luxury goods sector, Tax and spending]
Tue Sep 08 11:45:28 MSK 2015	Stage	And Then Come the Nightjars review – touching tale of love and loss on the farm	[Theatre, Stage, Culture]
Tue Sep 08 11:44:19 MSK 2015	World news	What's the best bit of the UN? No 3: the World Food Programme	[Hunger, United Nations, World news, Aid]
Tue Sep 08 11:42:49 MSK 2015	Books	Fleming or Horowitz: whose James Bond said what? - quiz	[Anthony Horowitz, Books, Fiction, James Bond, Culture, Film, Ian Fleming]
Tue Sep 08 11:34:28 MSK 2015	Politics	Father of British Isis fighters fears they are on government hitlist	[Foreign policy, Defence policy, Syria, Islamic State, Cardiff, Wales, UK news, Military, Royal Air Force, Middle East and North Africa, Politics]
Tue Sep 08 11:34:03 MSK 2015	Football	China’s focus on football could tilt the global game on its axis | Owen Gibson	[China, Football, Sport, China, Asia Pacific, World news]
Tue Sep 08 11:32:15 MSK 2015	Guardian Sustainable Business	Basic Water Needs will provide 540,000 Malawians with safe, clean water by 2018	[business call to action partner zone]
Tue Sep 08 11:30:03 MSK 2015	Comment is free	Hillary Clinton as a lifestyle brand? Don't roll your eyes too soon | Jessica Valenti	[Hillary Clinton, Feminism, Women, US elections 2016, Democrats]
Tue Sep 08 11:29:40 MSK 2015	Life and style	Waste not want not: the art of trash cooking	[Food & drink, Life and style, Waste, Chefs]
Tue Sep 08 11:26:15 MSK 2015	Technology	Peter Blake's designs pop up   on  remix app	[Apps, Augmented reality, Peter Blake, Technology, Art and design, Culture, Media, Smartphones, Tablet computers, First world war, UK news]
Tue Sep 08 11:18:57 MSK 2015	Sport	Shane Watson and the dwindling all-rounder species | Barney Ronay	[Australia cricket team, Australia sport, Cricket, Sport]
Tue Sep 08 11:18:09 MSK 2015	World news	Pope reforms Catholic church’s marriage annulment process	[Pope Francis, Catholicism, Religion, Christianity, The papacy, World news, Marriage, Life and style, Family, Vatican]
Tue Sep 08 11:15:02 MSK 2015	Comment is free	Should the US trust Iran? That query should probably be turned on its head | Negin Farsad	[Iran's nuclear programme, Iran, US politics]
Tue Sep 08 11:13:17 MSK 2015	US news	Ohio Planned Parenthood fights back at frontline of new conservative assault	[Planned Parenthood, Ohio, Abortion, US healthcare, US news, US politics, US elections 2016, Republicans, World news]
Tue Sep 08 11:10:31 MSK 2015	Sport	Toulon caught up in investigation into pharmacists in France	[Toulon, European Rugby Champions Cup, Rugby union, Sport]
Tue Sep 08 11:07:58 MSK 2015	Books	White poet used Chinese pen name to gain entry into Best American Poetry	[Poetry, Books, Culture, Race issues, US news]
Tue Sep 08 11:05:15 MSK 2015	Cities	PSPOs: the new control orders threatening our public spaces	[Cities, Urbanisation, London, UK news, Asbos, Law, Society, UK criminal justice, Communities]
Tue Sep 08 11:03:20 MSK 2015	Society	Michael Gove unveils review of prison education in England and Wales	[Prisons and probation, Society, UK news, Michael Gove, UK criminal justice, Law, Politics]
Tue Sep 08 11:01:49 MSK 2015	Sport	New Zealand’s Graham Henry: how I learned to win the Rugby World Cup	[New Zealand rugby union team, Rugby World Cup 2015, Rugby World Cup, Rugby union, Sport]
Tue Sep 08 11:01:21 MSK 2015	Guardian Small Business Network	From BuyMyFace to bitcoin, what's next for young entrepreneur Ed?	[Supporting business growth, Guardian Small Business Network, Business, Small business, Entrepreneurs, Students, Graduate careers, Work & careers, Money, Technology, Bitcoin]
